时间,排名,角色名,热度值,粉丝数
2026-02-26 14:44:37,6,秦彻,73963,1790000
2026-02-26 14:44:37,7,光与夜之恋陆沉,12081,2280000
2026-02-26 15:42:41,1,祁煜,71342,2050000
2026-02-26 15:42:41,2,沈星回,58510,1820000
2026-02-26 15:42:41,3,恋与深空黎深,57934,2020000
2026-02-26 15:42:41,4,齐司礼,53596,2670000
2026-02-26 15:42:41,5,夏以昼,47739,1120000
2026-02-26 15:42:41,6,秦彻,45563,1790000
2026-02-26 15:42:41,7,光与夜之恋陆沉,12144,2280000
2026-02-26 16:32:31,1,祁煜,71253,2050000
2026-02-26 16:32:31,2,沈星回,59220,1820000
2026-02-26 16:32:31,3,恋与深空黎深,54292,2020000
2026-02-26 16:32:31,4,齐司礼,53636,2670000
2026-02-26 16:32:31,5,夏以昼,47622,1120000
2026-02-26 16:32:31,6,秦彻,45459,1790000
2026-02-26 16:32:31,7,光与夜之恋陆沉,12150,2280000
2026-02-26 17:36:59,1,祁煜,71376,2050000
2026-02-26 17:36:59,2,沈星回,59148,1820000
2026-02-26 17:36:59,3,恋与深空黎深,54209,2020000
2026-02-26 17:36:59,4,齐司礼,53689,2670000
2026-02-26 17:36:59,5,夏以昼,47550,1120000
2026-02-26 17:36:59,6,秦彻,45315,1790000
2026-02-26 17:36:59,7,光与夜之恋陆沉,12206,2280000
2026-02-26 18:34:21,1,秦彻,45238,1790000
2026-02-26 18:34:21,2,祁煜,71153,2050000
2026-02-26 18:34:21,3,沈星回,59119,1820000
2026-02-26 18:34:21,4,恋与深空黎深,54175,2020000
2026-02-26 18:34:21,5,齐司礼,53625,2670000
2026-02-26 18:34:21,6,夏以昼,46740,1120000
2026-02-26 18:34:21,7,光与夜之恋陆沉,12248,2280000
2026-02-26 19:31:40,1,秦彻,73525,1790000
2026-02-26 19:31:40,2,祁煜,71214,2050000
2026-02-26 19:31:40,3,沈星回,59085,1820000
2026-02-26 19:31:40,4,恋与深空黎深,54170,2020000
2026-02-26 19:31:40,5,齐司礼,53635,2670000
2026-02-26 19:31:40,6,夏以昼,46709,1120000
2026-02-26 19:31:40,7,光与夜之恋陆沉,12223,2280000
2026-02-26 20:35:22,1,秦彻,83689,1790000
2026-02-26 20:35:22,2,祁煜,71253,2050000
2026-02-26 20:35:22,3,沈星回,59110,1820000
2026-02-26 20:35:22,4,恋与深空黎深,54057,2020000
2026-02-26 20:35:22,5,齐司礼,53791,2670000
2026-02-26 20:35:22,6,夏以昼,46674,1120000
2026-02-26 20:35:22,7,光与夜之恋陆沉,12248,2280000
2026-02-26 22:01:45,1,秦彻,83691,1790000
2026-02-26 22:01:45,2,祁煜,71343,2050000
2026-02-26 22:01:45,3,沈星回,59119,1820000
2026-02-26 22:01:45,4,恋与深空黎深,54026,2020000
2026-02-26 22:01:45,5,齐司礼,53813,2670000
2026-02-26 22:01:45,6,夏以昼,46654,1120000
2026-02-26 22:01:45,7,光与夜之恋陆沉,12200,2280000
2026-02-26 23:42:09,1,秦彻,83563,1790000
2026-02-26 23:42:09,2,祁煜,70780,2050000
2026-02-26 23:42:09,3,沈星回,59097,1820000
2026-02-26 23:42:09,4,恋与深空黎深,53983,2020000
2026-02-26 23:42:09,5,齐司礼,53875,2670000
2026-02-26 23:42:09,6,夏以昼,46535,1120000
2026-02-26 23:42:09,7,光与夜之恋陆沉,12171,2280000
2026-02-27 00:43:41,1,秦彻,83409,1790000
2026-02-27 00:43:41,2,祁煜,69950,2050000
2026-02-27 00:43:41,3,沈星回,59071,1820000
2026-02-27 00:43:41,4,恋与深空黎深,53896,2020000
2026-02-27 00:43:41,5,齐司礼,53825,2670000
2026-02-27 00:43:41,6,夏以昼,46453,1120000
2026-02-27 00:43:41,7,光与夜之恋陆沉,12132,2280000
2026-02-27 01:50:41,1,秦彻,83420,1790000
2026-02-27 01:50:41,2,恋与深空黎深,53909,2020000
2026-02-27 01:50:41,3,齐司礼,53810,2670000
2026-02-27 01:50:41,4,夏以昼,46447,1120000
2026-02-27 01:50:41,5,祁煜,69888,2050000
2026-02-27 01:50:41,6,沈星回,59108,1820000
2026-02-27 01:50:41,7,光与夜之恋陆沉,12165,2280000
2026-02-27 02:36:03,1,秦彻,94562,1790000
2026-02-27 02:36:03,2,齐司礼,53840,2670000
2026-02-27 02:36:03,3,恋与深空黎深,54533,2020000
2026-02-27 02:36:03,4,夏以昼,47536,1120000
2026-02-27 02:36:03,5,祁煜,36693,2050000
2026-02-27 02:36:03,6,沈星回,26813,1820000
2026-02-27 02:36:03,7,光与夜之恋陆沉,13169,2280000
